id,InventoryNumber,Initials,ExcavationDate,Context,Season,ShapeObject,ShapeDetails,Type,Ware,Material,ProductionPlace,Conservation,Measurements,NbFragments,NbDiscarded,JoinedTo_NbRemarks,DescriptionAndRemarks,Inclusions,Fabric,Glaze,Decoraction_Stamp,Chronology1stImpression,AbsoluteChronology,ToBeDr_Ph,Drawing,Photo,PhotoFabric,Square,Level,ProcessedBy,Zone,Label,Context_Survey_Homogenized
14108,,SC,19-07-13,T13-147-2-C,2013,Undetermined,wall,,coarse,,Local,Poor,,12,0,,Prehistoric? To be studied by MN,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-2
14109,TC2013.2954,MK,20-07-13,T13-147-3-A,2013,Basin,rim,,plain,,Local,Poor,,1,0,,flared rim,,,,,Archaic/Classical,,WAAR,ONWAAR,WAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14110,,MK,20-07-13,T13-147-3-A,2013,Undetermined,wall,,coarse,,Local,Poor,,0,4,,Prehistoric?,,,,,Prehistoric,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14111,,MK,20-07-13,T13-147-3-A,2013,Undetermined,wall,,brown glaze,,Local,Poor,,2,0,,brown and black glazed,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14112,,MK,20-07-13,T13-147-3-A,2013,Undetermined,wall,,plain,,Local,Poor,,0,2,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14113,,MK,20-07-13,T13-147-3-A,2013,Undetermined,wall,,plain,,Import,Poor,,1,0,,import?,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14114,,MK,20-07-13,T13-147-3-A,2013,Beehive,wall,,plain,,Local,Medium,,1,0,,,,,,,Late Antiquity,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14115,,MK,20-07-13,T13-147-3-A,2013,Tile,undetermined,,plain,,Local,Medium,,4,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14116,,MK,20-07-13,T13-147-3-A,2013,Tile,undetermined,cover,red glazed,,Local,Poor,,1,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
14117,,MK,20-07-13,T13-147-3-A,2013,Tile,undetermined,cover,plain,,Local,Medium,,2,0,,,,,,,Archaic/Classical,,ONWAAR,ONWAAR,ONWAAR,ONWAAR,,,FvdE,SURVEY,,T13-147-3
